勤め先会社名,提携窓口会社名,対象確認方法,紹介状提出期限,特典率,手数料率,対象者,連絡先,連絡先②,担当名
Ｕｐ　Ｔａｂｌｅ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4465,,小林・竹内・松田・五十嵐
ＵＢＳ証券,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＵＡゼンセン松源労働組合,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＵＡゼンセン サンプラザユニオン,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
U・コミュニティホテル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
TRUX,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＴＯＷＡ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
TOKYO GLOBAL GATEWAY,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7669,,飯野
TOHOWORLD,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4790,,小林・竹内・松田・五十嵐
ＴＯＡＳＵ,株式会社Ｂｃａｎ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,080-2588-7670,,飯野
ＴＯＡ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
TMG宗岡訪問看護ステーション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4971,,小林・竹内・松田・五十嵐
TMG宗岡中央病院,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4923,,小林・竹内・松田・五十嵐
TMGサテライトクリニック朝霞台,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4957,,小林・竹内・松田・五十嵐
TMGあさか医療センター,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4917,,小林・竹内・松田・五十嵐
ＴＩＳビジネスサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＴＩＳソリューションリンク,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＴＩＳシステムサービス,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＴＩＳ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＴＤＥＣ,ホンダ開発株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,048-452-5820,,田中
ＴＣＤ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＳＹＳＫＥＮ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＳＲＡグループ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＳＰＰ長崎エンジニアリング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＰＰテクノロジーズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＮ Ｔech,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMFL信託,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMFLレンタル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMFLみらいパートナーズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMFLビジネスサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＣ商事,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＣプレコンクリート,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＣテック,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＣシビルテクノス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMCコスモソリューションズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMCR,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＣＣビジネスパートナーズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMCCビジネスパートナー,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMCCデータサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMCCグリーンパートナーズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC不動産調査サービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC日興証券,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC電子債権記録,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC信用保証,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC信託銀行,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC債権回収,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCローンビジネス・プランニング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCリートマネジメント,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCラーニングサポート,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCモビット,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCベンチャーキャピタル,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCヒューマン・キャリア,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCバリュークリエーション,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCパーソネルサポート,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCスタッフサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCコンシューマーファイナンス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCコンサルティング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＳＭＢＣグローバル・インベストメント＆コンサルティング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCグリーンサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCキャピタル・パートナーズ,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBCオペレーションサービス,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMBC GMO PAYMENT,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SMAサポート,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
Showtitle,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SGリアルティ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4746,,小林・竹内・松田・五十嵐
SGモータース,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4749,,小林・竹内・松田・五十嵐
SGムービング,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4742,,小林・竹内・松田・五十嵐
SGホールディングスグループ健康保険組合,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4759,,小林・竹内・松田・五十嵐
SGホールディングス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4739,,小林・竹内・松田・五十嵐
SGフィルダー,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4752,,小林・竹内・松田・五十嵐
SGシステム,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4750,,小林・竹内・松田・五十嵐
SGエキスパート,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4753,,小林・竹内・松田・五十嵐
SGアセットマックス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4747,,小林・竹内・松田・五十嵐
SGHグローバルジャパン,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4745,,小林・竹内・松田・五十嵐
SFIリーシング,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
Ｓｅｐｔｅｎｉ Ｊａｐａｎ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
SDPセンター,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4729,,小林・竹内・松田・五十嵐
SCREENデコラプリント,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
SBI日本少額短期保険,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4818,,小林・竹内・松田・五十嵐
SBI貯蓄銀行,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4849,,小林・竹内・松田・五十嵐
SBI地方創生アセットマネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4855,,小林・竹内・松田・五十嵐
SBI損害保険,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4815,,小林・竹内・松田・五十嵐
SBI生命保険,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4816,,小林・竹内・松田・五十嵐
SBI証券,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4812,,小林・竹内・松田・五十嵐
SBIロイヤル証券,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4848,,小林・竹内・松田・五十嵐
SBIレミット,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4826,,小林・竹内・松田・五十嵐
SBIリスタ少額短期保険,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4819,,小林・竹内・松田・五十嵐
SBIリクイディティ・マーケット,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4822,,小林・竹内・松田・五十嵐
SBIリーシングサービス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4836,,小林・竹内・松田・五十嵐
SBIマネープラザ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4821,,小林・竹内・松田・五十嵐
SBIボンド・インベストメント・マネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4852,,小林・竹内・松田・五十嵐
SBIベネフィット・システムズ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4830,,小林・竹内・松田・五十嵐
SBIプロセス・イノベーター,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4838,,小林・竹内・松田・五十嵐
SBIプライム証券,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4834,,小林・竹内・松田・五十嵐
SBIファーマ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4857,,小林・竹内・松田・五十嵐
SBIビジネスサポート,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4828,,小林・竹内・松田・五十嵐
SBIビジネス・ソリューションズ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4829,,小林・竹内・松田・五十嵐
SBIバイオテック,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4858,,小林・竹内・松田・五十嵐
SBIネオファイナンシャルサービシーズ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4837,,小林・竹内・松田・五十嵐
SBIソーシャルレンディング,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4827,,小林・竹内・松田・五十嵐
SBIグローバルアセットマネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4850,,小林・竹内・松田・五十嵐
SBIギャランティ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4853,,小林・竹内・松田・五十嵐
SBIオルタナティブ・インベストメンツ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4854,,小林・竹内・松田・五十嵐
SBIオートサポート,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4825,,小林・竹内・松田・五十嵐
SBIエナジー,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4851,,小林・竹内・松田・五十嵐
SBIエステートマネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4861,,小林・竹内・松田・五十嵐
SBIエステートファイナンス,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4847,,小林・竹内・松田・五十嵐
SBIウェルネスバンク,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4860,,小林・竹内・松田・五十嵐
SBIインベストメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4840,,小林・竹内・松田・五十嵐
SBIインシュアランスグループ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4814,,小林・竹内・松田・五十嵐
SBIいきいき少額短期保険,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4817,,小林・竹内・松田・五十嵐
SBIアルスノーバ・リサーチ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4843,,小林・竹内・松田・五十嵐
SBIアラプロモ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4856,,小林・竹内・松田・五十嵐
SBIアセットマネジメント,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4841,,小林・竹内・松田・五十嵐
SBIアートフォリオ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4831,,小林・竹内・松田・五十嵐
SBI‐HIKARI P.E .,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4846,,小林・竹内・松田・五十嵐
SBI VEN CAPITAL,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4842,,小林・竹内・松田・五十嵐
SBI VCトレード,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4839,,小林・竹内・松田・五十嵐
SBI Ripple Asia,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4835,,小林・竹内・松田・五十嵐
SBI FXトレード,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4823,,小林・竹内・松田・五十嵐
SBI FinTech Solutions,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4832,,小林・竹内・松田・五十嵐
SBI CapitalBase,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4859,,小林・竹内・松田・五十嵐
SBI BITS,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4833,,小林・竹内・松田・五十嵐
SBI Africa,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4862,,小林・竹内・松田・五十嵐
Ｓａｎｓａｎ,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＲＫＫＣＳ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＲＩＺＡＰ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＲＥＤＡＣ Ｉｎｃ.,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
RADIX・CG,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＱＴｎｅｔ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＰＵＸ,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
PSビバレッジ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4888,,小林・竹内・松田・五十嵐
Prism Partner,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＰＨＣメディコム,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＰＨＣ,株式会社リロクラブ,紹介カード受領,初回来場,0.005,0.005,関連会社従業員,0120-982-291,050-3629-6956,①コールセンター②木下
ＰＦＵ,株式会社FTHRプロフェショナルズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員、役員並びにOB・OG,0120-66-0434,,宮本
PEO建機教習センタ,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
PayPay銀行,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
P.Tワールドデベロップメントインドネシア,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4799,,小林・竹内・松田・五十嵐
Ｐ＆Ｇ合同会社,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4634,,小林・竹内・松田・五十嵐
Ｐ＆Ｇイノベーション合同会社,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4630,,小林・竹内・松田・五十嵐
Ｐ＆Ｇ プレステージ合同会社,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4631,,小林・竹内・松田・五十嵐
OSK,株式会社日立リアルエステートパートナーズ,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,090-9311-1696,,黒田
ＯＯＨメディアソリューション,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4473,,小林・竹内・松田・五十嵐
ONEFORALL横浜,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-4950,,小林・竹内・松田・五十嵐
One Team,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＯＭデジタルソルーションズ,株式会社ベルス,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6328-5097,,小林・竹内・松田・五十嵐
ＯＣＣ,NECビジネスインテリジェンス株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-3455-1136,,加藤
NX・NPロジスティクス,株式会社パナソニック共済会,紹介カード受領,購入申込,0.005,0.005,関連会社従業員及びＯＢ,050-3164-0052,,吉久 紀子 yoshihisa.noriko@jp.panasonic.com
ＮＴＴ北海道テレマート,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本-北海道,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本-南関東,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本-東北,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本札幌病院 ,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本関東病院,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本-関信越,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本プロパティーズ,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本サービス,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ東日本,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
NTT東日本,ライジングサポート株式会社,紹介カード受領,購入申込,0.005,0.005,関連会社従業員,03-6681-6709,,加藤、原田、室
ＮＴＴ都市開発北海道,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
ＮＴＴ都市開発投資顧問,株式会社NTT ExCパートナー,紹介カード受領,購入申込,0.005,0.005,関連会社従業員・OB・会員,03-5860-3848,"リビングサービス共有アドレス：smile.c@nttexc.co.jp 
2020.11.09付でタカラレーベン西日本も追加
2023.07.01経営統合し商号変更　
2025.10.1～担当変更　黒田様
2025.12.3
メールアドレス変更
smile.c@nttexc.co.jp",大西・黒田・君嶋・大村・伊藤
